Home screen - Title,i hate trees,Ég hata tré
Home screen - Play,play,Spila
Home screen - Shop,shop,búð
Home screen - Settings,settings,stillingar
Home screen - Save/load,save/load,vista/hlaða
Gameplay - Amount of wood,Wood,viður
Gameplay - Death,You died!,
Gameplay - Back to game,Back to game,
Shop - Heat,upgrade heat capacity,bæta hitaþol
Shop - Power,upgrade chainsaw power,Bæta styrk
Shop - Cooling,upgrade cooling speed,Bæta kælihraða
Shop - Range,upgrade chainsaw range,Bæta fjarlægð
Shop - Upgrade,upgrade your chainsaw,Uppfæra keðjusögina
Shop - Upgrade Header,upgrade,Gera betri
Shop - Upgrade Maximum,You can't upgrade your %s.,
Shop - Upgrade Name,So now it's called a %s.,
Menus - Exit,exit,Hætta
Menus - Cancel,cancel,Hætta við
Settings - Hitboxes,show colored rectangles,Sýna litaða ferhyrninga
Settings - Music,background music,bakgrunstónlist
Settings - Sounds,sounds,hljóð
Settings - Mobile,mobile version,spjaldtölvu/síma útgáfa
Settings - Update,update the game,Uppfæra leikinn
Settings - Language,change language,Breyta tungumáli
Settings - On,ON,á
Settings - Off,OFF,af
Settings - Update Header,update,uppfæra
Settings - Update Latest Version,(latest),(Nýjasta)
Settings - Reset Here,Update to:,Uppfæra í
Files - Save,save,vista
Files - Load,load,hlaða
Easter Egg - Title,yay!,
Easter Egg - Description,You found the easter egg!,
Easter Egg - Button,Get 2000000 wood because why not,
